sse,vr
0x1418C3C18,0x141966FE0
0x1418BFB10,0x141962AD0
0x1418BFB28,0x141962AE8
0x1418BFAF8,0x141962AB8
0x1418C6700,0x141969AC8
0x1418C6718,0x141969AE0
0x1418C66E8,0x141969AB0
0x1418C6100,0x1419694C8
0x1418C6118,0x1419694E0
0x1418C60E8,0x1419694B0
0x1418C6280,0x141969648
0x1418C6298,0x141969660
0x1418C6268,0x141969630
0x1418C6380,0x141969748
0x1418C6398,0x141969760
0x1418C6368,0x141969730
0x1418C6680,0x141969A48
0x1418C6698,0x141969A60
0x1418C6668,0x141969A30
0x1418C6600,0x1419699C8
0x1418C6618,0x1419699E0
0x1418C65E8,0x1419699B0
0x1418C6080,0x141969448
0x1418C6098,0x141969460
0x1418C6068,0x141969430
0x1418C6880,0x141969C48
0x1418C6898,0x141969C60
0x1418C6868,0x141969C30
0x1418C6800,0x141969BC8
0x1418C6818,0x141969BE0
0x1418C67E8,0x141969BB0
0x1418C6780,0x141969B48
0x1418C6798,0x141969B60
0x1418C6768,0x141969B30
0x1418C6500,0x1419698C8
0x1418C6518,0x1419698E0
0x1418C64E8,0x1419698B0
0x1418C6580,0x141969948
0x1418C6598,0x141969960
0x1418C6568,0x141969930
0x1418C6900,0x141969CC8
0x1418C6918,0x141969CE0
0x1418C68E8,0x141969CB0
0x1418C6400,0x1419697C8
0x1418C6418,0x1419697E0
0x1418C63E8,0x1419697B0
0x1418C6480,0x141969848
0x1418C6498,0x141969860
0x1418C6468,0x141969830
0x1418C6300,0x1419696C8
0x1418C6318,0x1419696E0
0x1418C62E8,0x1419696B0
0x1418C6200,0x1419695C8
0x1418C6218,0x1419695E0
0x1418C61E8,0x1419695B0
0x1418C6180,0x141969548
0x1418C6198,0x141969560
0x1418C6168,0x141969530
0x141919A98,0x1419BD840
0x141919AB8,0x1419BD860
0x141919A80,0x1419BD828
0x14194C010,0x1419EF860
0x14194C038,0x1419EF888
0x14194BFF8,0x1419EF848
0x1418CB588,0x14196EFC8
0x1418CB5A0,0x14196EFE0
0x1418CB570,0x14196EFB0
0x1418C7F78,0x14196B348
0x1418C7F90,0x14196B360
0x1418C7F60,0x14196B330
0x14193CB48,0x1419E0398
0x14193CB60,0x1419E03B0
0x14193CB30,0x1419E0380
0x1419609C0,0x141A04D20
0x141960A08,0x141A04D68
0x1419609A8,0x141A04D08
0x1419699A8,0x141A0DD08
0x1419699C0,0x141A0DD20
0x141969990,0x141A0DCF0
0x1418BFC10,0x141962BD0
0x1418BFC28,0x141962BE8
0x1418BFBF8,0x141962BB8
0x141887C68,0x141929FE8
0x141887C88,0x14192A008
0x141887C50,0x141929FD0
0x1419445D8,0x1419E7E28
0x141944600,0x1419E7E50
0x1419445C0,0x1419E7E10
0x141944C38,0x1419E8488
0x141944C50,0x1419E84A0
0x141944C20,0x1419E8470
0x14187CE30,0x14191F250
0x14187CE48,0x14191F268
0x14187CE18,0x14191F238
0x1418C5A80,0x141968E48
0x1418C5A98,0x141968E60
0x1418C5A68,0x141968E30
0x14187CEB0,0x14191F2D0
0x14187CEC8,0x14191F2E8
0x14187CE98,0x14191F2B8
0x14191A5B0,0x1419BE268
0x14191A5D0,0x1419BE288
0x14191A598,0x1419BE250
0x141924820,0x1419C82B0
0x141924838,0x1419C82C8
0x141924808,0x1419C8298
0x1418929F0,0x141934D90
0x141892A08,0x141934DA8
0x1418929D8,0x141934D78
0x14196CF18,0x141A11278
0x14196CF28,0x141A11288
0x14196CED8,0x141A11238
0x14196CF00,0x141A11260
0x1418B3AB8,0x141955DD8
0x1418B3AC8,0x141955DE8
0x1418B3A78,0x141955D98
0x1418B3AA0,0x141955DC0
0x1418B3BB8,0x141955ED8
0x1418B3BC8,0x141955EE8
0x1418B3B78,0x141955E98
0x1418B3BA0,0x141955EC0
0x1418B3DB8,0x1419560D8
0x1418B3DC8,0x1419560E8
0x1418B3D78,0x141956098
0x1418B3DA0,0x1419560C0
0x1418B3CB8,0x141955FD8
0x1418B3CC8,0x141955FE8
0x1418B3C78,0x141955F98
0x1418B3CA0,0x141955FC0
0x141969E40,0x141A0E1A0
0x141969E58,0x141A0E1B8
0x141969E28,0x141A0E188
0x141924420,0x1419C7EB0
0x141924438,0x1419C7EC8
0x141924408,0x1419C7E98
0x14191B188,0x1419BED08
0x14191B1A8,0x1419BED28
0x14191B170,0x1419BECF0
0x1418ADB70,0x14194FE90
0x1418ADB88,0x14194FEA8
0x1418ADB58,0x14194FE78
0x1418C5600,0x1419689C8
0x1418C5618,0x1419689E0
0x1418C55E8,0x1419689B0
0x14191DC48,0x1419C1650
0x14191DC68,0x1419C1670
0x14191DC30,0x1419C1638
0x141924920,0x1419C83B0
0x141924938,0x1419C83C8
0x141924908,0x1419C8398
0x1418CAFA8,0x14196E770
0x1418CAFC8,0x14196E790
0x1418CAF90,0x14196E758
0x1418B67C0,0x141958AE0
0x1418B67D8,0x141958AF8
0x1418B67A8,0x141958AC8
0x141873AD0,0x141915DF0
0x141873AE8,0x141915E08
